origin,host_family,host_genus,host_species,virus_genus,virus_subgenus
Anthony,Vespertilionidae,Ia,Ia io,Betacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros armiger,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus hipposideros,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus blasii,Betacoronavirus,NA
Anthony,Vespertilionidae,Eptesicus,Eptesicus nilssonii,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus hesperidus,Betacoronavirus,NA
Anthony,Vespertilionidae,Eptesicus,Eptesicus serotinus,Betacoronavirus,NA
Anthony,Phyllostomidae,Carollia,Carollia perspicillata,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus abramus,Betacoronavirus,Merbecovirus
HP3,Pteropodidae,Rousettus,Rousettus amplexicaudatus,Ebolavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Ebolavirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Ebolavirus,NA
HP3,Pteropodidae,Epomops,Epomops franqueti,Ebolavirus,NA
HP3,Pteropodidae,Hypsignathus,Hypsignathus monstrosus,Ebolavirus,NA
HP3,Pteropodidae,Micropteropus,Micropteropus pusillus,Ebolavirus,NA
HP3,Pteropodidae,Myonycteris,Myonycteris torquata,Ebolavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Ebolavirus,NA
HP3,Molossidae,Chaerephon,Chaerephon pumilus,Flavivirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus brachyotis,Flavivirus,NA
HP3,Pteropodidae,Macroglossus,Macroglossus minimus,Flavivirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus nigrita,Flavivirus,NA
HP3,Emballonuridae,Taphozous,Taphozous perforatus,Flavivirus,NA
HP3,Phyllostomidae,Anoura,Anoura geoffroyi,Flavivirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus cinereus,Flavivirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Flavivirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Flavivirus,NA
HP3,Phyllostomidae,Carollia,Carollia brevicauda,Flavivirus,NA
HP3,Phyllostomidae,Carollia,Carollia perspicillata,Flavivirus,NA
HP3,Phyllostomidae,Desmodus,Desmodus rotundus,Flavivirus,NA
HP3,Molossidae,Molossus,Molossus molossus,Flavivirus,NA
HP3,Molossidae,Molossus,Molossus rufus,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis nigricans,Flavivirus,NA
HP3,Natalidae,Natalus,Natalus stramineus,Flavivirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Flavivirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus davyi,Flavivirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus parnellii,Flavivirus,NA
HP3,Pteropodidae,Pteropus,Pteropus alecto,Flavivirus,NA
HP3,Pteropodidae,Pteropus,Pteropus scapulatus,Flavivirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Flavivirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Flavivirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira lilium,Flavivirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Flavivirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga soricina,Flavivirus,NA
HP3,Natalidae,Natalus,Natalus tumidirostris,Flavivirus,NA
HP3,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Flavivirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus sphinx,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros armiger,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros bicolor,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros cineraceus,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros pomona,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros speoris,Flavivirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus schreibersii,Flavivirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus schreibersii,Flavivirus,NA
HP3,Vespertilionidae,Murina,Murina aurata,Flavivirus,NA
HP3,Vespertilionidae,Murina,Murina leucogaster,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis macrodactylus,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis mystacinus,Flavivirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus abramus,Flavivirus,NA
HP3,Vespertilionidae,Plecotus,Plecotus auritus,Flavivirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Flavivirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Flavivirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus rouxii,Flavivirus,NA
HP3,Emballonuridae,Taphozous,Taphozous melanopogon,Flavivirus,NA
HP3,Vespertilionidae,Vespertilio,Vespertilio sinensis,Flavivirus,NA
HP3,Pteropodidae,Eonycteris,Eonycteris spelaea,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros lankadiva,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis lucifugus,Flavivirus,NA
HP3,Vespertilionidae,Vespadelus,Vespadelus pumilus,Flavivirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus phaeotis,Flavivirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus toltecus,Flavivirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus fuscus,Flavivirus,NA
HP3,Mormoopidae,Mormoops,Mormoops megalophylla,Flavivirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Flavivirus,NA
HP3,Molossidae,Tadarida,Tadarida brasiliensis,Flavivirus,NA
HP3,Nycteridae,Nycteris,Nycteris gambiensis,Flavivirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira tildae,Flavivirus,NA
HP3,Phyllostomidae,Mimon,Mimon crenulatum,Flavivirus,NA
HP3,Phyllostomidae,Uroderma,Uroderma bilobatum,Flavivirus,NA
HP3,Pteropodidae,Pteropus,Pteropus vampyrus,Flavivirus,NA
HP3,Vespertilionidae,Barbastella,Barbastella barbastellus,Flavivirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis septentrionalis,Flavivirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Flavivirus,NA
HP3,Pteropodidae,Dobsonia,Dobsonia anderseni,Henipavirus,NA
HP3,Pteropodidae,Dobsonia,Dobsonia moluccensis,Henipavirus,NA
HP3,Pteropodidae,Eidolon,Eidolon dupreanum,Henipavirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus admiralitatum,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus alecto,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus capistratus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus conspicillatus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus hypomelanus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus neohibernicus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus poliocephalus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus rufus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus scapulatus,Henipavirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus brachyotis,Henipavirus,NA
HP3,Pteropodidae,Eonycteris,Eonycteris spelaea,Henipavirus,NA
HP3,Pteropodidae,Epomophorus,Epomophorus gambianus,Henipavirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros armiger,Henipavirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros larvatus,Henipavirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros pomona,Henipavirus,NA
HP3,Pteropodidae,Hypsignathus,Hypsignathus monstrosus,Henipavirus,NA
HP3,Vespertilionidae,Myotis,Myotis daubentonii,Henipavirus,NA
HP3,Vespertilionidae,Myotis,Myotis ricketti,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus giganteus,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus lylei,Henipavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus vampyrus,Henipavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus affinis,Henipavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,Henipavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Henipavirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Henipavirus,NA
HP3,Vespertilionidae,Myotis,Myotis blythii,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus giganteus,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus lylei,Lyssavirus,NA
HP3,Pteropodidae,Eonycteris,Eonycteris spelaea,Lyssavirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus schreibersii,Lyssavirus,NA
HP3,Vespertilionidae,Philetor,Philetor brachypterus,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus alecto,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus conspicillatus,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus hypomelanus,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus poliocephalus,Lyssavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus scapulatus,Lyssavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus amplexicaudatus,Lyssavirus,NA
HP3,Emballonuridae,Saccolaimus,Saccolaimus flaviventris,Lyssavirus,NA
HP3,Emballonuridae,Saccolaimus,Saccolaimus saccolaimus,Lyssavirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Lyssavirus,NA
HP3,Emballonuridae,Taphozous,Taphozous melanopogon,Lyssavirus,NA
HP3,Vespertilionidae,Nyctalus,Nyctalus noctula,Lyssavirus,NA
HP3,Nycteridae,Nycteris,Nycteris thebaica,Lyssavirus,NA
HP3,Vespertilionidae,Vespertilio,Vespertilio murinus,Lyssavirus,NA
HP3,Vespertilionidae,Barbastella,Barbastella barbastellus,Lyssavirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus serotinus,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis dasycneme,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis daubentonii,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis myotis,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis nattereri,Lyssavirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus nathusii,Lyssavirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Lyssavirus,NA
HP3,Vespertilionidae,Plecotus,Plecotus auritus,Lyssavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Lyssavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Lyssavirus,NA
HP3,Molossidae,Tadarida,Tadarida teniotis,Lyssavirus,NA
HP3,Vespertilionidae,Murina,Murina leucogaster,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis mystacinus,Lyssavirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus sphinx,Lyssavirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Lyssavirus,NA
HP3,Pteropodidae,Epomophorus,Epomophorus gambianus,Lyssavirus,NA
HP3,Pteropodidae,Epomophorus,Epomophorus wahlbergi,Lyssavirus,NA
HP3,Pteropodidae,Epomops,Epomops dobsonii,Lyssavirus,NA
HP3,Pteropodidae,Micropteropus,Micropteropus pusillus,Lyssavirus,NA
HP3,Nycteridae,Nycteris,Nycteris gambiensis,Lyssavirus,NA
HP3,Vespertilionidae,Antrozous,Antrozous pallidus,Lyssavirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus cinereus,Lyssavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus fimbriatus,Lyssavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Lyssavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Lyssavirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus phaeotis,Lyssavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Lyssavirus,NA
HP3,Phyllostomidae,Carollia,Carollia perspicillata,Lyssavirus,NA
HP3,Phyllostomidae,Chrotopterus,Chrotopterus auritus,Lyssavirus,NA
HP3,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,Lyssavirus,NA
HP3,Molossidae,Cynomops,Cynomops abrasus,Lyssavirus,NA
HP3,Molossidae,Cynomops,Cynomops planirostris,Lyssavirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus brachyotis,Lyssavirus,NA
HP3,Phyllostomidae,Desmodus,Desmodus rotundus,Lyssavirus,NA
HP3,Phyllostomidae,Diaemus,Diaemus youngi,Lyssavirus,NA
HP3,Emballonuridae,Diclidurus,Diclidurus albus,Lyssavirus,NA
HP3,Phyllostomidae,Diphylla,Diphylla ecaudata,Lyssavirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus brasiliensis,Lyssavirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus diminutus,Lyssavirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus furinalis,Lyssavirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus fuscus,Lyssavirus,NA
HP3,Vespertilionidae,Euderma,Euderma maculatum,Lyssavirus,NA
HP3,Molossidae,Eumops,Eumops auripendulus,Lyssavirus,NA
HP3,Molossidae,Eumops,Eumops glaucinus,Lyssavirus,NA
HP3,Molossidae,Eumops,Eumops patagonicus,Lyssavirus,NA
HP3,Molossidae,Eumops,Eumops perotis,Lyssavirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga longirostris,Lyssavirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga morenoi,Lyssavirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga soricina,Lyssavirus,NA
HP3,Vespertilionidae,Histiotus,Histiotus montanus,Lyssavirus,NA
HP3,Vespertilionidae,Histiotus,Histiotus velatus,Lyssavirus,NA
HP3,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus blossevillii,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus borealis,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus cinereus,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus ega,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus egregius,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus intermedius,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus seminolus,Lyssavirus,NA
HP3,Vespertilionidae,Lasiurus,Lasiurus xanthinus,Lyssavirus,NA
HP3,Phyllostomidae,Leptonycteris,Leptonycteris curasoae,Lyssavirus,NA
HP3,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Lyssavirus,NA
HP3,Phyllostomidae,Macrotus,Macrotus californicus,Lyssavirus,NA
HP3,Phyllostomidae,Micronycteris,Micronycteris megalotis,Lyssavirus,NA
HP3,Molossidae,Molossops,Molossops neglectus,Lyssavirus,NA
HP3,Molossidae,Molossus,Molossus molossus,Lyssavirus,NA
HP3,Molossidae,Molossus,Molossus rufus,Lyssavirus,NA
HP3,Mormoopidae,Mormoops,Mormoops megalophylla,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis albescens,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis austroriparius,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis californicus,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis chiloensis,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis evotis,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis grisescens,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis keenii,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis leibii,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis levis,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis lucifugus,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis nigricans,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis riparius,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis septentrionalis,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis thysanodes,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis velifer,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis volans,Lyssavirus,NA
HP3,Vespertilionidae,Myotis,Myotis yumanensis,Lyssavirus,NA
HP3,Vespertilionidae,Nycticeius,Nycticeius humeralis,Lyssavirus,NA
HP3,Molossidae,Nyctinomops,Nyctinomops laticaudatus,Lyssavirus,NA
HP3,Molossidae,Nyctinomops,Nyctinomops macrotis,Lyssavirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Lyssavirus,NA
HP3,Vespertilionidae,Parastrellus,Pipistrellus hesperus,Lyssavirus,NA
HP3,Vespertilionidae,Perimyotis,Pipistrellus subflavus,Lyssavirus,NA
HP3,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Lyssavirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus davyi,Lyssavirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus parnellii,Lyssavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Lyssavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Lyssavirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira lilium,Lyssavirus,NA
HP3,Molossidae,Tadarida,Tadarida brasiliensis,Lyssavirus,NA
HP3,Phyllostomidae,Uroderma,Uroderma bilobatum,Lyssavirus,NA
HP3,Pteropodidae,Epomops,Epomops franqueti,Marburgvirus,NA
HP3,Pteropodidae,Hypsignathus,Hypsignathus monstrosus,Marburgvirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus inflatus,Marburgvirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus eloquens,Marburgvirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Marburgvirus,NA
HP3,Nycteridae,Nycteris,Nycteris gambiensis,Orbivirus,NA
HP3,Nycteridae,Nycteris,Nycteris nana,Orbivirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Orbivirus,NA
HP3,Pteropodidae,Syconycteris,Syconycteris australis,Orbivirus,NA
HP3,Phyllostomidae,Anoura,Anoura geoffroyi,Orthobunyavirus,NA
HP3,Phyllostomidae,Carollia,Carollia perspicillata,Orthobunyavirus,NA
HP3,Natalidae,Natalus,Natalus tumidirostris,Orthobunyavirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Orthobunyavirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus parnellii,Orthobunyavirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus sphinx,Orthobunyavirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Orthobunyavirus,NA
HP3,Vespertilionidae,Myotis,Myotis keenii,Orthobunyavirus,NA
HP3,Vespertilionidae,Myotis,Myotis septentrionalis,Orthobunyavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Orthobunyavirus,NA
HP3,Molossidae,Molossus,Molossus molossus,Orthobunyavirus,NA
HP3,Molossidae,Tadarida,Chaerephon plicatus,Orthobunyavirus,NA
HP3,Emballonuridae,Taphozous,Taphozous perforatus,Orthobunyavirus,NA
HP3,Emballonuridae,Taphozous,Taphozous theobaldi,Orthobunyavirus,NA
HP3,Molossidae,Molossus,Molossus rufus,Orthobunyavirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Orthobunyavirus,NA
HP3,Pteropodidae,Epomophorus,Epomophorus labiatus,Orthobunyavirus,NA
HP3,Pteropodidae,Epomops,Epomops franqueti,Orthobunyavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Orthobunyavirus,NA
HP3,Phyllostomidae,Uroderma,Uroderma bilobatum,Orthohepadnavirus,NA
HP3,Pteropodidae,Pteropus,Pteropus poliocephalus,Orthoreovirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Orthoreovirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Phlebovirus,NA
HP3,Pteropodidae,Epomops,Epomops franqueti,Phlebovirus,NA
HP3,Vespertilionidae,Glauconycteris,Glauconycteris argentata,Phlebovirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros abae,Phlebovirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros caffer,Phlebovirus,NA
HP3,Pteropodidae,Micropteropus,Micropteropus pusillus,Phlebovirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus schreibersii,Phlebovirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus kuhlii,Phlebovirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Vesiculovirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Vesiculovirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus eloquens,Vesiculovirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus hildebrandtii,Vesiculovirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Vesiculovirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus phaeotis,Vesiculovirus,NA
HP3,Phyllostomidae,Carollia,Carollia perspicillata,Vesiculovirus,NA
HP3,Phyllostomidae,Desmodus,Desmodus rotundus,Vesiculovirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga soricina,Vesiculovirus,NA
HP3,Phyllostomidae,Lonchophylla,Lonchophylla robusta,Vesiculovirus,NA
HP3,Phyllostomidae,Lophostoma,Lophostoma silvicolum,Vesiculovirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira lilium,Vesiculovirus,NA
HP3,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Vesiculovirus,NA
